Date;Time;Cycle Number;Temperature;Pressure;Active Countdown;Countdown Step;;;Vent Valve;Sterilising;Overload Alarm;System Alarm
 2018/ 01/ 26 ;14:02;2264;123;192.38;1;1694;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:03;2264;123;196.52;1;1694;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:04;2264;124;200.19;1;1775;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:05;2264;124;204.71;1;1715;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:06;2264;125;209.36;1;1655;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:07;2264;125;214.44;1;1595;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:08;2264;126;220.13;1;1535;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:09;2264;126;221.64;1;1475;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:10;2264;127;220.18;1;1415;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:11;2264;127;218.1;1;1355;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:12;2264;127;214.91;1;1295;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:13;2264;127;212.72;1;1235;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:14;2264;126;209.94;1;1175;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:15;2264;126;207.41;1;1115;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:16;2264;126;204.41;1;1055;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:17;2264;125;201.6;1;995;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:18;2264;125;199.05;1;935;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:19;2264;124;199.89;1;875;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:20;2264;124;207.21;1;815;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:21;2264;124;214.14;1;755;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:22;2264;125;219.98;1;695;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:23;2264;126;226.41;1;635;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:24;2264;126;229.91;1;575;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:25;2264;127;230.85;1;515;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:26;2264;128;229.28;1;455;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:27;2264;128;227.81;1;395;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:28;2264;128;225.28;1;335;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:29;2264;128;223.09;1;274;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:30;2264;128;219.68;1;214;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:31;2264;127;216.96;1;154;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:32;2264;127;214.14;1;94;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:33;2264;126;211.13;1;34;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;14:34;2264;126;168.96;1;1;OFF;OFF;ON ;ON ;OFF;OFF
 2018/ 01/ 26 ;14:35;2264;125;122.55;1;1;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:36;2264;123;89.93;1;1;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:37;2264;121;49.63;1;1;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:38;2264;118;21.32;2;267;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:39;2264;116;-3.21;2;207;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:40;2264;115;-4.18;2;147;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:41;2264;116;-3.58;2;87;OFF;OFF;ON ;OFF;OFF;OFF
 2018/ 01/ 26 ;14:42;2264;117;-3.34;2;27;OFF;OFF;ON ;OFF;OFF;OFF
