Date;Time;Temperature;Pressure;Active Countdown;Countdown Step;Vent Valve;Sterilising
 2018/ 01/ 26 ;14:32;127;214.14;1;94;OFF;ON 
 2018/ 01/ 26 ;14:33;126;211.13;1;34;OFF;ON 
 2018/ 01/ 26 ;14:34;126;168.96;1;1;ON ;ON 
 2018/ 01/ 26 ;14:35;125;122.55;1;1;ON ;OFF
 2018/ 01/ 26 ;14:36;123;89.93;1;1;ON ;OFF
 2018/ 01/ 26 ;14:37;121;49.63;1;1;ON ;OFF
 2018/ 01/ 26 ;14:38;118;21.32;2;267;ON ;OFF
 2018/ 01/ 26 ;14:39;116;-3.21;2;207;ON ;OFF
 2018/ 01/ 26 ;14:40;115;-4.18;2;147;ON ;OFF
 2018/ 01/ 26 ;14:41;116;-3.58;2;87;ON ;OFF
 2018/ 01/ 26 ;14:42;117;-3.34;2;27;ON ;OFF
