Hydroclave Systems Corp. ,	2019
Sterilization Temperature Setpoint (C) ,	121
Sterilization Pressure Setpoint (kPa) ,	130
Sterilization Time Setpoint ,	30
Dry Cycle Time (minutes) ,	5
Batch Number ,	4250
Vessel Serial Number ,	9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/12, 00:44:48, 4250, 122.4, -22.53454, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:44:57, 4250, 118.3, -17.2178, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:45:08, 4250, 116.1, -23.44412, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:45:17, 4250, 114.9, -20.35116, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:45:28, 4250, 114.4, -20.34581, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:45:38, 4250, 114.4, -23.4501, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:45:48, 4250, 114.5, -21.56288, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:45:58, 4250, 114.5, -19.07525, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:46:07, 4250, 114.1, -17.51684, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:46:18, 4250, 113.6, -19.68938, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:46:28, 4250, 113.2, -19.70937, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:46:38, 4250, 112.8, -17.1964, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:46:48, 4250, 112.5, -21.56851, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:46:58, 4250, 112.4, -19.40667, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:47:08, 4250, 112.3, -17.50692, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:47:18, 4250, 112.1, -15.3417, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:47:28, 4250, 111.9, -18.15237, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:47:38, 4250, 111.7, -15.00923, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:47:48, 4250, 111.4, -15.94795, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:47:58, 4250, 111.1, -16.88195, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:48:08, 4250, 110.6, -16.59509, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:48:18, 4250, 110.2, -15.93971, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:48:28, 4250, 110.1, -16.25389, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:48:37, 4250, 109.9, -20.01411, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:48:48, 4250, 109.7, -18.78332, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:48:57, 4250, 109.6, -19.38042, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:49:08, 4250, 109.5, -18.78698, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:49:18, 4250, 109.5, -23.46777, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:49:28, 4250, 109.4, -18.44444, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:49:38, 4250, 109.4, 37.07635, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:49:48, 4250, 109.3, 40.34434, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:49:58, 4250, 109.3, 39.61551, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:50:08, 4250, 109.5, 41.28477, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:50:18, 4250, 109.8, 44.71733, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:50:28, 4250, 110, 44.01201, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:50:38, 4250, 110, 47.3035, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:50:48, 4250, 110.3, 46.95084, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:50:58, 4250, 110.4, 51.15926, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:51:08, 4250, 110.5, 49.37245, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:51:18, 4250, 110.5, 53.27522, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:51:27, 4250, 110.6, 52.26426, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:51:38, 4250, 110.8, 54.56831, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:51:47, 4250, 111.1, 55.27363, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:51:58, 4250, 111.4, 55.95544, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:52:08, 4250, 111.6, 58.89428, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:52:18, 4250, 111.7, 57.90683, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:52:28, 4250, 111.9, 60.58704, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:52:38, 4250, 112, 59.6231, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:52:48, 4250, 112.2, 63.19673, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:52:58, 4250, 112.4, 62.18577, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:53:08, 4250, 112.6, 65.5478, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:53:18, 4250, 112.6, 64.84248, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:53:28, 4250, 112.7, 66.32365, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:53:38, 4250, 112.8, 68.36908, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:53:48, 4250, 113, 67.26408, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:53:58, 4250, 113.2, 70.06185, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:54:07, 4250, 113.2, 69.47408, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:54:18, 4250, 113.4, 72.17782, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:54:28, 4250, 113.5, 71.37845, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:54:38, 4250, 113.7, 74.29378, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:54:48, 4250, 113.8, 74.81101, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:54:58, 4250, 114, 76.80942, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:55:08, 4250, 114.1, 77.11506, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:55:18, 4250, 114.3, 78.90187, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:55:28, 4250, 114.3, 80.31251, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:55:38, 4250, 114.4, 81.11188, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:55:48, 4250, 114.6, 84.35635, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:55:58, 4250, 114.7, 83.95667, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:56:08, 4250, 114.9, 86.16667, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:56:18, 4250, 115.1, 86.91901, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:56:28, 4250, 115.3, 89.15253, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:56:37, 4250, 115.4, 89.5287, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:56:48, 4250, 115.6, 90.65721, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:56:58, 4250, 115.7, 91.69169, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:57:08, 4250, 115.9, 93.29041, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:57:18, 4250, 116.1, 94.41892, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:57:27, 4250, 116.2, 95.87659, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:57:37, 4250, 116.4, 98.53329, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:57:47, 4250, 116.6, 98.7684, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:57:58, 4250, 116.8, 101.3546, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:58:07, 4250, 117, 102.5771, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:58:18, 4250, 117.2, 104.4345, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:58:28, 4250, 117.4, 105.1633, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:58:38, 4250, 117.5, 106.4329, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:58:48, 4250, 117.7, 108.1727, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:58:58, 4250, 117.8, 109.4893, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:59:08, 4250, 118, 111.6993, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:59:18, 4250, 118.2, 112.8513, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:59:28, 4250, 118.3, 115.1553, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:59:38, 4250, 118.6, 116.1428, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:59:48, 4250, 118.9, 118.4233, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 00:59:58, 4250, 119.1, 119.5754, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:00:08, 4250, 119.3, 121.2681, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:00:18, 4250, 119.5, 122.0675, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:00:28, 4250, 119.8, 123.6662, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:00:38, 4250, 120, 124.8888, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:00:48, 4250, 120.3, 126.0878, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:00:58, 4250, 120.5, 128.4154, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:01:08, 4250, 120.6, 129.4734, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:01:18, 4250, 120.8, 131.2602, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:01:28, 4250, 121, 132.036, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:01:38, 4250, 121.2, 134.1755, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:01:48, 4250, 121.4, 134.8573, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:01:58, 4250, 121.6, 136.8322, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:02:08, 4250, 121.8, 138.0077, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:02:18, 4250, 122, 139.8181, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:02:29, 4250, 122.3, 146.3775, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:02:39, 4250, 122.5, 147.0123, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:02:49, 4250, 122.7, 147.9057, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:02:59, 4250, 122.8, 149.3164, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:03:08, 4250, 122.9, 150.4684, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:03:19, 4250, 123, 151.691, 1, 1799, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:04:19, 4250, 124.2, 160.1548, 1, 1739, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:05:19, 4250, 124.7, 165.4682, 1, 1679, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:06:19, 4250, 125.1, 170.7346, 1, 1619, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:07:19, 4250, 125.1, 172.8035, 1, 1559, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:08:19, 4250, 124.8, 173.744, 1, 1499, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:09:19, 4250, 124.6, 176.3772, 1, 1439, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:10:19, 4250, 124.1, 176.4007, 1, 1379, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:11:19, 4250, 123.8, 176.4007, 1, 1319, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:12:19, 4250, 123.4, 175.86, 1, 1259, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:13:19, 4250, 123.1, 174.9195, 1, 1199, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:14:19, 4250, 122.8, 173.697, 1, 1139, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:15:19, 4250, 122.5, 172.7095, 1, 1079, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:16:19, 4250, 122.3, 172.1453, 1, 1019, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:17:19, 4250, 122.1, 170.4995, 1, 959, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:18:19, 4250, 122.2, 174.0026, 1, 899, ON, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:19:19, 4250, 122.8, 183.4069, 1, 839, ON, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:20:19, 4250, 124.1, 195.2092, 1, 779, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:21:19, 4250, 126, 206.4473, 1, 719, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:22:19, 4250, 127.2, 216.1808, 1, 659, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:23:19, 4250, 128.7, 226.4079, 1, 599, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:24:19, 4250, 129.3, 229.6054, 1, 539, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:25:19, 4250, 129.8, 232.1916, 1, 479, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:26:19, 4250, 129.8, 233.2495, 1, 419, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:27:19, 4250, 129.8, 233.2495, 1, 359, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:28:19, 4250, 129.5, 232.2856, 1, 299, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:29:19, 4250, 129.3, 230.8985, 1, 239, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:30:19, 4250, 129.2, 230.0991, 1, 179, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:31:19, 4250, 129, 228.6885, 1, 119, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:32:18, 4250, 128.7, 226.8311, 1, 59, OFF, OFF, OFF, ON, OFF, OFF
2019/03/12, 01:33:19, 4250, 128.5, 194.5039, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:34:19, 4250, 124.4, 103.7997, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:35:19, 4250, 119.7, 63.19673, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:36:19, 4250, 116.4, 39.96817, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:37:19, 4250, 115, 34.70177, 1, 256, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:38:19, 4250, 114.1, 32.44475, 1, 196, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:39:19, 4250, 113.5, 32.25666, 1, 136, OFF, OFF, ON, OFF, OFF, OFF
2019/03/12, 01:40:19, 4250, 113, 29.99964, 1, 76, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/12, 01:41:19, 4250, 112.4, 31.29273, 1, 16, OFF, OFF, ON, OFF, OFF, OFF
