Hydroclave Systems Corp. ,	2019
Sterilization Temperature Setpoint (C) ,	121
Sterilization Pressure Setpoint (kPa) ,	130
Sterilization Time Setpoint ,	30
Dry Cycle Time (minutes) ,	5
Batch Number ,	4249
Vessel Serial Number ,	9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/11, 22:46:56, 4249, 122.8, -20.3463, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:47:06, 4249, 116.3, -18.14674, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:47:16, 4249, 112.6, -18.75221, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:47:26, 4249, 110.8, -18.1321, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:47:36, 4249, 109.5, -24.70208, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:47:45, 4249, 108.6, -17.53092, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:47:56, 4249, 109.1, -23.14001, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:48:06, 4249, 109.2, -22.85026, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:48:16, 4249, 109.2, -23.77237, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:48:26, 4249, 108.6, -22.83562, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:48:36, 4249, 108.1, -24.38819, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:48:46, 4249, 107.6, -21.56562, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:48:55, 4249, 106.7, -21.5804, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:49:05, 4249, 106.4, -19.38499, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:49:16, 4249, 106.1, -18.15145, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/11, 22:49:26, 4249, 105.8, -22.20861, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
