Hydroclave Systems Corp. ,	2019
Sterilization Temperature Setpoint (C) ,	121
Sterilization Pressure Setpoint (kPa) ,	130
Sterilization Time Setpoint ,	30
Dry Cycle Time (minutes) ,	5
Batch Number ,	4252
Vessel Serial Number ,	9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/12, 04:28:21, 4252, 99.7, -15.9383, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:28:31, 4252, 99.1, -15.32143, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:28:41, 4252, 98.6, -18.76397, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:28:51, 4252, 98.4, -16.25846, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:29:01, 4252, 98.2, -22.52968, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:29:11, 4252, 98.2, -20.0277, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:29:21, 4252, 98.2, -15.97131, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:29:31, 4252, 98.2, -15.95499, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:29:41, 4252, 98.1, -24.06789, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:29:50, 4252, 97.9, -18.46901, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:30:01, 4252, 97.7, -18.44106, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:30:11, 4252, 97.6, -17.84798, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:30:21, 4252, 97.4, -24.39537, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:30:31, 4252, 97.7, -24.094, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/12, 04:30:40, 4252, 97.7, -24.401, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
