Hydroclave Systems Corp. ,	2019
Sterilization Temperature Setpoint (C) ,	121
Sterilization Pressure Setpoint (kPa) ,	130
Sterilization Time Setpoint ,	30
Dry Cycle Time (minutes) ,	5
Batch Number ,	4244
Vessel Serial Number ,	9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/08, 18:00:23, 4244, 119.1, -21.56472, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:00:33, 4244, 116.2, -21.89797, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:00:43, 4244, 113.8, -15.94704, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:00:53, 4244, 113.4, -22.50449, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:01:03, 4244, 113, -23.43758, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:01:13, 4244, 112.6, -16.25207, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:01:23, 4244, 112.4, -20.6507, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:01:33, 4244, 112.3, -18.75497, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:01:43, 4244, 112.4, -16.59369, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:01:53, 4244, 112.4, -18.12598, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:02:03, 4244, 112.4, -21.28609, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:02:13, 4244, 112.4, -18.45374, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:02:23, 4244, 112.5, -15.96992, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:02:33, 4244, 112.6, -22.50647, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 18:02:43, 4244, 112.7, -24.70237, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
