Hydroclave Systems Corp. ,	2019
Sterilization Temperature Setpoint (C) ,	121
Sterilization Pressure Setpoint (kPa) ,	130
Sterilization Time Setpoint ,	30
Dry Cycle Time (minutes) ,	5
Batch Number ,	4243
Vessel Serial Number ,	9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/08, 10:33:43, 4243, 141, -19.39106, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:33:53, 4243, 136.7, -21.89642, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:34:03, 4243, 129.2, -15.95465, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:34:13, 4243, 125, -24.10056, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:34:22, 4243, 122.9, -23.76471, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:34:33, 4243, 122.1, -18.14274, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:34:43, 4243, 122.1, -16.57842, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:34:53, 4243, 122.5, -22.83331, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:35:03, 4243, 123.1, -16.28712, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:35:13, 4243, 123.8, -19.71959, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:35:23, 4243, 124.5, -20.66211, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:35:33, 4243, 122.9, -19.37839, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:35:43, 4243, 122, -15.02705, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:35:52, 4243, 121.7, -21.59442, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:36:03, 4243, 121.7, -19.09427, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:36:13, 4243, 121.8, -22.50126, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:36:23, 4243, 122.1, -20.63283, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:36:33, 4243, 122.4, -23.15586, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:36:43, 4243, 122.7, -15.31468, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:36:53, 4243, 122.9, -24.71518, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:37:03, 4243, 123, -20.31317, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:37:13, 4243, 123.1, -15.31849, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:37:22, 4243, 123.2, -22.81698, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:37:33, 4243, 123.3, -18.75553, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:37:43, 4243, 123.5, -24.07536, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:37:53, 4243, 123.6, -18.43875, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:38:03, 4243, 123.6, -24.69822, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:38:13, 4243, 123.7, -21.91381, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:38:23, 4243, 123.7, -15.31588, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:38:33, 4243, 123.8, 77.53825, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:38:43, 4243, 124.1, 119.7164, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:38:53, 4243, 124.6, 136.8557, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:39:03, 4243, 125.4, 144.5907, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:39:13, 4243, 126.1, 165.4447, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:39:23, 4243, 127, 164.1516, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:39:33, 4243, 127.7, 144.3556, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:39:43, 4243, 128.1, 144.1911, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:39:53, 4243, 128.4, 166.6438, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 10:40:03, 4243, 128.6, 151.9966, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:40:13, 4243, 128.8, 145.0609, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:40:23, 4243, 129, 149.6926, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:40:32, 4243, 129.1, 145.6017, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:40:43, 4243, 129.1, 149.4104, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:40:52, 4243, 129.2, 146.4246, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:41:03, 4243, 129.1, 145.0139, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:41:13, 4243, 129.1, 149.1283, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:41:23, 4243, 129, 144.6378, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:41:33, 4243, 129, 147.0123, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:41:43, 4243, 128.9, 146.0719, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:41:53, 4243, 128.8, 147.8822, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:42:03, 4243, 128.7, 147.2239, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 10:43:10, 4243, 128.4, 195.3738, 1, 1739, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:44:10, 4243, 126.6, 148.423, 1, 1679, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:45:10, 4243, 124.9, 153.7129, 1, 1619, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:46:10, 4243, 123.7, 154.1831, 1, 1559, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:47:10, 4243, 123.2, 154.1831, 1, 1499, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:48:10, 4243, 122.5, 154.3947, 1, 1439, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:49:10, 4243, 121.7, 155.5937, 1, 1379, ON, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:50:10, 4243, 121.7, 163.6579, 1, 1319, ON, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:51:10, 4243, 121.6, 174.9665, 1, 1259, ON, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:52:10, 4243, 123.2, 188.7908, 1, 1199, ON, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:53:10, 4243, 124, 198.924, 1, 1139, ON, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:54:10, 4243, 125.8, 208.963, 1, 1079, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:55:10, 4243, 126.7, 218.3203, 1, 1019, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:56:10, 4243, 127.4, 223.7512, 1, 959, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:57:10, 4243, 128.1, 227.3954, 1, 899, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:58:10, 4243, 127.8, 230.3107, 1, 839, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 10:59:10, 4243, 127.9, 233.1555, 1, 779, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:00:10, 4243, 127.6, 235.1774, 1, 719, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:01:10, 4243, 127.4, 235.6946, 1, 659, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:02:10, 4243, 127, 236.0943, 1, 599, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:03:10, 4243, 126.6, 235.9768, 1, 539, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:04:10, 4243, 126.3, 235.5301, 1, 479, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:05:10, 4243, 126, 234.7072, 1, 419, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:06:10, 4243, 125.7, 234.2135, 1, 359, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:07:10, 4243, 125.5, 232.7088, 1, 299, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:08:10, 4243, 125.2, 232.0035, 1, 239, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:09:10, 4243, 124.7, 230.6869, 1, 179, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:10:10, 4243, 124.6, 229.0411, 1, 119, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:11:10, 4243, 124.5, 227.8186, 1, 59, OFF, OFF, OFF, ON, OFF, OFF
2019/03/08, 11:12:10, 4243, 124.5, 204.1198, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/08, 11:13:10, 4243, 121.3, 80.75922, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/08, 11:14:10, 4243, 117.2, 47.65617, 1, 0, OFF, OFF, ON, OFF, OFF, OFF
2019/03/08, 11:15:10, 4243, 114.4, 32.9855, 1, 273, OFF, OFF, ON, OFF, OFF, OFF
2019/03/08, 11:16:10, 4243, 113.4, 31.26921, 1, 213, OFF, OFF, ON, OFF, OFF, OFF
2019/03/08, 11:17:10, 4243, 112.9, 34.93689, 1, 153, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 11:18:10, 4243, 112.4, 34.86635, 1, 93, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 11:19:10, 4243, 111.7, 31.50432, 1, 33, OFF, OFF, ON, OFF, OFF, OFF
