Hydroclave Systems Corp. ,	2019
Sterilization Temperature Setpoint (C) ,	121
Sterilization Pressure Setpoint (kPa) ,	130
Sterilization Time Setpoint ,	30
Dry Cycle Time (minutes) ,	5
Batch Number ,	4245
Vessel Serial Number ,	9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/08, 20:15:19, 4245, 144.4, -21.26533, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:15:29, 4245, 144.3, -21.89459, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:15:39, 4245, 144.2, -19.39718, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:15:49, 4245, 143.3, -15.33974, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:15:59, 4245, 141.7, -20.65591, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:16:09, 4245, 140.1, -17.21795, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:16:19, 4245, 138.5, -19.39429, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:16:29, 4245, 137.2, -16.25312, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:16:39, 4245, 136.1, -16.57736, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:16:49, 4245, 135.2, -21.57401, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:16:59, 4245, 134.6, -17.19628, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:17:09, 4245, 134, -21.59203, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:17:19, 4245, 133.5, -17.53304, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:17:29, 4245, 133, -19.70987, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:17:39, 4245, 132.7, -15.64751, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:17:49, 4245, 132.3, -18.16399, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:17:59, 4245, 132, -19.09997, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:18:09, 4245, 131.6, -21.89719, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:18:19, 4245, 131.3, -18.44157, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:18:29, 4245, 131, -21.89797, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:18:39, 4245, 130.7, -18.14245, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:18:49, 4245, 130.4, -23.7545, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:18:59, 4245, 130.1, -16.57919, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:19:09, 4245, 129.8, -22.19736, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:19:19, 4245, 129.5, -20.96122, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:19:29, 4245, 129.3, -21.27877, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:19:39, 4245, 129, -23.46503, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:19:49, 4245, 128.7, -20.32907, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:19:59, 4245, 128.3, -16.58348, 1, 1800, OFF, OFF, OFF, OFF, OFF, OFF
2019/03/08, 20:20:09, 4245, 128, 120.4217, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 20:20:19, 4245, 127.8, 121.2211, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 20:20:29, 4245, 127.8, 122.3966, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 20:20:39, 4245, 128.1, 146.8242, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
2019/03/08, 20:20:49, 4245, 128.5, 149.6926, 1, 1800, ON, ON, OFF, OFF, OFF, OFF
